seed,round,station,method,episode,epsilon,reward
11,10,commuter,pooled_q,38,0.3099363912000001,-90.35993824095613
11,10,commuter,federated_q,39,0.3099363912000001,-90.25611670993344
11,10,commuter,local_q,39,0.3099363912000001,-102.79472905405034
11,10,commuter,pooled_q,39,0.3099363912000001,-90.24286482296151
11,10,mixed_use,federated_q,36,0.3099363912000001,-90.92820394505034
11,10,mixed_use,local_q,36,0.3099363912000001,-110.30908054190452
11,10,mixed_use,pooled_q,36,0.3099363912000001,-81.61084721295255
11,10,mixed_use,federated_q,37,0.3099363912000001,-117.45461533286193
11,10,mixed_use,local_q,37,0.3099363912000001,-116.63639817875472
11,10,mixed_use,pooled_q,37,0.3099363912000001,-119.93581252527966
11,10,mixed_use,federated_q,38,0.3099363912000001,-80.82243586203842
11,10,mixed_use,local_q,38,0.3099363912000001,-80.96118764706956
11,10,mixed_use,pooled_q,38,0.3099363912000001,-75.98090625360153
11,10,mixed_use,federated_q,39,0.3099363912000001,-90.29623214105214
11,10,mixed_use,local_q,39,0.3099363912000001,-96.14546826625029
11,10,mixed_use,pooled_q,39,0.3099363912000001,-97.87796826625032
11,11,campus,federated_q,40,0.2789427520800001,-9.32117084799248
11,11,campus,local_q,40,0.2789427520800001,-10.293878628076506
11,11,campus,pooled_q,40,0.2789427520800001,-9.440732796033812
11,11,campus,federated_q,41,0.2789427520800001,-14.392187854672782
11,11,campus,local_q,41,0.2789427520800001,-23.577604154129844
11,11,campus,pooled_q,41,0.2789427520800001,-19.43192656209385
11,11,campus,federated_q,42,0.2789427520800001,-31.773184217279848
11,11,campus,local_q,42,0.2789427520800001,-42.995695777248834
11,11,campus,pooled_q,42,0.2789427520800001,-36.27498389428029
11,11,campus,federated_q,43,0.2789427520800001,-25.934721736056062
11,11,campus,local_q,43,0.2789427520800001,-38.52978457731907
11,11,campus,pooled_q,43,0.2789427520800001,-45.41137166883069
11,11,commuter,federated_q,40,0.2789427520800001,-95.49718456052159
11,11,commuter,local_q,40,0.2789427520800001,-118.42925667257711
11,11,commuter,pooled_q,40,0.2789427520800001,-108.06349357388329
11,11,commuter,federated_q,41,0.2789427520800001,-88.6041350602764
11,11,commuter,local_q,41,0.2789427520800001,-91.57128762940913
11,11,commuter,pooled_q,41,0.2789427520800001,-87.58179518216004
11,11,commuter,federated_q,42,0.2789427520800001,-78.64982544741996
11,11,commuter,local_q,42,0.2789427520800001,-84.02839799307256
11,11,commuter,pooled_q,42,0.2789427520800001,-80.31498027307354
11,11,commuter,federated_q,43,0.2789427520800001,-79.27052213980069
11,11,commuter,local_q,43,0.2789427520800001,-82.75113649079584
11,11,commuter,pooled_q,43,0.2789427520800001,-79.29192257562778
11,11,mixed_use,federated_q,40,0.2789427520800001,-67.76253539223708
11,11,mixed_use,local_q,40,0.2789427520800001,-69.4114216210914
11,11,mixed_use,pooled_q,40,0.2789427520800001,-80.12309001792148
11,11,mixed_use,federated_q,41,0.2789427520800001,-64.46447995552172
11,11,mixed_use,local_q,41,0.2789427520800001,-58.954402635260166
11,11,mixed_use,pooled_q,41,0.2789427520800001,-66.49268491592217
11,11,mixed_use,federated_q,42,0.2789427520800001,-59.07455838141851
11,11,mixed_use,local_q,42,0.2789427520800001,-54.23131377730837
11,11,mixed_use,pooled_q,42,0.2789427520800001,-73.62542300983164
11,11,mixed_use,federated_q,43,0.2789427520800001,-100.26399253124197
11,11,mixed_use,local_q,43,0.2789427520800001,-100.84287928685822
11,11,mixed_use,pooled_q,43,0.2789427520800001,-98.09377792921022
11,12,campus,federated_q,44,0.25104847687200005,-16.81875950726839
11,12,campus,local_q,44,0.25104847687200005,-33.7170281961301
11,12,campus,pooled_q,44,0.25104847687200005,-12.567333353779992
11,12,campus,federated_q,45,0.25104847687200005,-22.30959765601588
11,12,campus,local_q,45,0.25104847687200005,-17.160608398851753
11,12,campus,pooled_q,45,0.25104847687200005,-13.54590063557244
11,12,campus,federated_q,46,0.25104847687200005,-29.43405595601212
11,12,campus,local_q,46,0.25104847687200005,-19.90530380354167
